Name,County,State
"City of Louisville, Colorado Government",colorado,texas
"City of Clovis, NM (City Government)",curry,new mexico
City of Bothell Government,snohomish,washington
City of Laredo - Government,webb,texas
City of Jackson - Government,jackson,mississippi
City of Carbondale Government,jackson,illinois
City of National City- Government,san diego,california
Pottawattamie County Sheriff's Office,pottawattamie,iowa
Seminole County FL,seminole,florida
City of Lanett,chambers,alabama
Burlington County,burlington,new jersey
"Rutherford County Government, North Carolina",rutherford,north carolina
"City of Unalaska, Alaska",district 37,alaska
"Lawrence County, Tennessee Government",lawrence,missouri
Hampshire County Health Department,hampshire,west virginia
"City of Philippi, WV",barbour,west virginia
City of Monrovia - Government,los angeles,california
"City of Huntington, WV",cabell,west virginia
SC DHEC,kershaw,south carolina
"Monongalia County Health Department, Morgantown, WV",monongalia,west virginia
"Stephens County, Texas",stephens,texas
City of Westland - Administration,wayne,michigan
"City of Mesquite, Nevada",nevada,arkansas
"City of Jasper, Alabama",walker,alabama
City of Kechi,sedgwick,kansas
City of Des Plaines Government,cook,illinois
Placer County,placer,california
"City of Broussard, Louisiana",lafayette,louisiana
City of Oakley- City Hall,hall,georgia
"City of Spartanburg, SC",spartanburg,south carolina
"City of Cleveland Heights, Ohio - City Hall",ohio,kentucky
City of Park Ridge,park,montana
Kenton County - Government,kenton,kentucky
"City of Springfield, Oregon Government",oregon,missouri
"City of Springboro, Ohio - Municipal Government",ohio,kentucky
Biloxi City Hall,hall,georgia
Burke County Government,burke,north carolina
"City of Palestine, Texas - Community Information",texas,missouri
"Georgetown County, S.C.",georgetown,south carolina
Burleigh County (Bismarck),burleigh,north dakota
City County Health District,MANUALLY TAG
"Laurens County, Georgia",laurens,south carolina
"Government of Cambria County, Pennsylvania",cambria,pennsylvania
Lawrence County Health Department,lawrence,missouri
"Adams County, Illinois",adams,pennsylvania
Chambers County Health Department,chambers,texas
"Fayette County, GA Health Department",fayette,iowa
Elmore County Health Department,elmore,idaho
"City of Corinth, Texas- Government",denton,texas
The City of Ecorse,wayne,michigan
Geneva County Health Department,geneva,alabama
City of Ridgecrest,kern,california
"City of Hugo, MN",washington,minnesota
Wilcox County Health Department,wilcox,georgia
Barbour County Health Department,barbour,west virginia
Autauga County Health Department,autauga,alabama
Crenshaw County Health Department,crenshaw,alabama
Russell County Health Department,russell,virginia
Butler County Health Department,butler,missouri
Greene County Health Department,greene,pennsylvania
Franklin County Health Department,franklin,florida
Covington County Health Department,covington,mississippi
Pike County Health Department,pike,mississippi
Cleburne County Health Department,cleburne,alabama
Conecuh County Health Department,conecuh,alabama
City of Troy Missouri,lincoln,missouri
Butts County Health Department,butts,georgia
City of Andover KS,butler,kansas
Golden City Hall,hall,georgia
The City of Hobbs,lea,new mexico
Kingfisher County Health Department,kingfisher,oklahoma
"City of Scandia, Minnesota",washington,minnesota
City of Kimball,kimball,nebraska
"The City of Crookston, Minnesota",polk,minnesota
City of Tool,henderson,texas
Fulton County Health Department,fulton,georgia
Brooke County Health Department,brooke,west virginia
City of Morristown - Government,morris,new jersey
"City of Walker, Michigan",kent,michigan
"City of Mentor, Ohio - Municipal Government",ohio,kentucky
City of Watsonville - City Gov't,santa cruz,california
"City of Goodlettsville, TN Government",davidson,tennessee
City of Hurricane,washington,utah
"City of Fort Mitchell, KY",kenton,kentucky
"City of Athens, Tennessee",mcminn,tennessee
City of Saline Government,saline,kansas
Huron County Public Health,huron,michigan
City of Pelham,shelby,alabama
City of Catoosa - Municipality,catoosa,georgia
Wood County Health Department,wood,texas
"City of Sikeston, MO",new madrid,missouri
Allen County Health Department,allen,louisiana
Wyandot County Public Health,wyandot,ohio
County of Maui,maui,hawaii
"City of Lancaster, PA Government",lancaster,pennsylvania
Huntington County Health Department,huntington,indiana
"City of El Dorado, Kansas Municipal Government",butler,kansas
The City of Grand Haven,grand,colorado
City of Mason Government,mason,washington
Lake County Public Health - Montana,lake,illinois
Egyptian Health Department,MANUALLY TAG
"City of Stillwater, Minnesota - Local Government",washington,minnesota
"City of University Place, Washington - Municipal Government",washington,kansas
"City of Columbia, TN - Government",maury,tennessee
County of Lexington,lexington,virginia
"City of Newark, Delaware",delaware,oklahoma
City of Oak Ridge Government,montgomery,new jersey
"City of Springfield, MO - Connect with SGF",greene,missouri
County of Sonoma,sonoma,california
"Hancock County Health Department, Home Health Agency and Dental Center",hancock,illinois
"City of Janesville, WI",rock,wisconsin
City of San Leandro,alameda,california
Davis County Health Department,davis,iowa
City of South Portland,cumberland,maine
Macomb County Health Department,macomb,michigan
Bessemer City,jefferson,alabama
City-Cowley County Health Department,cowley,kansas
Emanuel County Board of Commissioners,emanuel,georgia
"City of Valley Center, Kansas - Municipal Government",valley,nebraska
City of Falfurrias,brooks,texas
"City of Newark, NJ - City Hall",hall,georgia
Michigan Department of Transportation,MANUALLY TAG
City of Seguin - Government,guadalupe,texas
Yuma County Government,yuma,colorado
Pierce County,pierce,nebraska
City of Winchester VA - Local Government,winchester,virginia
City of Cushing - City Government,nacogdoches,texas
City of Great Falls - Local Government,falls,texas
Harvey County,harvey,kansas
"City of Canton, Missouri",lewis,missouri
"City of Auburn, Kentucky",logan,kentucky
"City of Enumclaw, Washington",washington,kansas
Tulsa Health Department,tulsa,oklahoma
"City of Marion, Iowa Government",iowa,wisconsin
Sarasota County Government,sarasota,florida
"City of Richmond, VA Government",richmond,virginia
"City of Hutto, TX – Municipal Government",williamson,texas
Yavapai County Community Health Services,yavapai,arizona
City of Lago Vista,travis,texas
City of West Concord-Mayor Page,page,iowa
Allen County Public Health,allen,louisiana
"City of Willow Park, TX",parker,texas
Carroll County Health Department,carroll,virginia
Steuben County Public Health,steuben,indiana
City of Goose Creek - Municipal Government,creek,oklahoma
New Mexico Department of Health,MANUALLY TAG
"City Of Spencer, West Virginia",roane,west virginia
Ulster County Government,ulster,new york
City of South Milwaukee,milwaukee,wisconsin
"Wilson County, Texas",texas,missouri
"City of White Oak, Texas",white,indiana
Allen County Department of Health,allen,louisiana
City of Elizabethtown Government,hardin,kentucky
Cabarrus County Government,cabarrus,north carolina
"Odessa, Texas - City Government",texas,missouri
Wayne County Health Department,wayne,indiana
"City of Lakewood, California Government",los angeles,california
City of Watertown - City Government,jefferson,new york
City of Manitou Springs Government,el paso,colorado
City of Gastonia Government,gaston,north carolina
Boone County Kentucky - Government,boone,kentucky
"City of Staunton, VA – Government",augusta,virginia
Macon County Health Department,macon,north carolina
City of Sebastian,sebastian,arkansas
"Greene County, Ohio - Government",greene,pennsylvania
"El Dorado County, CA - Government",el dorado,california
"City of Garden City, Idaho",garden,nebraska
"Perquimans County, NC",perquimans,north carolina
"Inman, SC - City Hall",hall,georgia
DC Health,MANUALLY TAG
Cherokee County Health Department,cherokee,georgia
Pickens County Health Department,pickens,south carolina
Bibb County Health Department,bibb,alabama
Lamar County Health Department,lamar,mississippi
Hale County Health Department,hale,texas
Dale County Health Department,dale,alabama
Portage County Division of Public Health,portage,wisconsin
Golden Valley County,golden valley,montana
City of Callaway,callaway,missouri
NorthEast Public Health Collaborative,MANUALLY TAG
"City of Granger, Iowa",iowa,wisconsin
City of Minnetrista,hennepin,minnesota
City of Luverne,rock,minnesota
Emmons County Public Health,emmons,north dakota
"Lake County, South Dakota",lake,illinois
City of Britton,lenawee,michigan
City of Lonoke,lonoke,arkansas
"County of Union, Illinois",union,illinois
The City Of Detroit Texas,texas,missouri
City of Edinburg-Government,johnson,illinois
"City of Rochelle, Illinois - City Hall",hall,georgia
"City of Auburn, NY - auburnny.gov",cayuga,new york
City of Dubuque Government,dubuque,iowa
"City of Monroe, WA",snohomish,washington
Suffolk County Health,suffolk,virginia
The City of Minot,ward,north dakota
Cabell-Huntington Health Dept,cabell,west virginia
"City of Prattville, Alabama Government",autauga,alabama
"City of Weslaco, The Official Site",hidalgo,texas
"City of Carlyle, Illinois",clinton,illinois
"City of Green, Ohio -- City Administration",ohio,kentucky
City of Woodinville - Government,king,washington
City of Tacoma Government,pierce,washington
"City of Roanoke, Virginia - Government",roanoke,county
Hendricks County Health Department,hendricks,indiana
City of Napa - Local Government,napa,california
City of Placentia - Government,orange,california
City of Chino - Government,san bernardino,california
"City of Montpelier, VT - City Government",washington,vermont
Town of Ocean City - Government,ocean,new jersey
City of Altamonte,seminole,florida
"St. Joseph County, IN",st. joseph,indiana
"Otter Tail County, Minnesota",otter tail,minnesota
City of Fort Dodge Government,dodge,minnesota
Adams County PA,adams,pennsylvania
Pinellas County Government,pinellas,florida
City of West Linn - Government,linn,iowa
"Washington Township, Gloucester County, New Jersey",gloucester,virginia
"City of Rio Grande City, Texas",texas,missouri
City of San José,santa clara,california
"City of Grandview Heights, Ohio",ohio,kentucky
"City of Aurora, IL, Government",kane,illinois
La Crosse County Health Department,la crosse,wisconsin
Whatcom County Health,whatcom,washington
The City of Yonkers,westchester,new york
"The City of Anniston, Alabama",calhoun,alabama
City of Fulshear,fort bend,texas
"Cranberry Township, Pennsylvania",butler,pennsylvania
City of Dana Point - Government,orange,california
"City of Athens, Texas Government",texas,missouri
NYC Department of Health and Mental Hygiene,queens,new york
"City of Nampa, Idaho - Municipal Government",canyon,idaho
La Vergne City Hall,hall,georgia
Oklahoma Department of Transportation,oklahoma,oklahoma
City of Columbus - City Hall,columbus,north carolina
City of Ferris Texas,texas,missouri
City of Rockford - City Hall,hall,georgia
City of Redwood City,redwood,minnesota
The City of West Palm Beach,palm beach,florida
"Henderson County, Kentucky Government",henderson,illinois
City of Grover Beach - Local Government,san luis obispo,california
Boaz City,marshall,alabama
City of Huntsville,madison,alabama
City of Indianola #thinkindianolafirst,warren,iowa
"Humboldt County, Nevada",nevada,arkansas
Mayes County Health Department,mayes,oklahoma
Polk County Public Health,polk,missouri
City of Fort Scott,scott,iowa
Middlesex Sheriff's Office,middlesex,virginia
"Galveston County, Texas",texas,missouri
County of San Bernardino,san bernardino,california
"City of Florence, KY - Mayor's Office",boone,kentucky
City of Concord Government,contra costa,california
"City of Hemet, CA - City Government",riverside,california
"County of Sutter, CA",sutter,california
"City of Central Falls, RI",providence,rhode island
City of Menifee-City Hall,hall,georgia
City of Midwest City - Government,oklahoma,oklahoma
City of Ramsey,ramsey,minnesota
"City of Roswell, Georgia Government",fulton,georgia
"City of Lakewood, Washington - Municipal Government",washington,kansas
"City of Inver Grove Heights, Minnesota",dakota,minnesota
"City of Overland, Missouri",st. louis county,missouri
City of Ocala Municipal Government,marion,florida
City of Vestavia Hills,shelby,alabama
"City of Muscatine, Iowa - City Government",iowa,wisconsin
Vanderburgh County Health Department,vanderburgh,indiana
Housing Authority of the City of Milwaukee,milwaukee,wisconsin
"Floyd County, GA - Government",floyd,texas
City of Trenton NJ - City Hall,hall,georgia
Racine County Wisconsin,racine,wisconsin
The City of Indio - Government,riverside,california
"Whitfield County, Georgia",whitfield,georgia
City of Parchment,kalamazoo,michigan
"Meade County, South Dakota",dakota,minnesota
"City of Dilworth, Minnesota",clay,minnesota
City of Harbor Springs,emmet,michigan
"City of Mahnomen, Minnesota",mahnomen,minnesota
City of Kuttawa,lyon,kentucky
City of Hominy,osage,oklahoma
Thurston County Public Health and Social Services,thurston,washington
City of Dallas - City Hall,dallas,texas
Miami-Dade County Government,miami-dade,florida
Kitsap County - Government,kitsap,washington
"City of Waterville, Maine",kennebec,maine
City of Tracy - Local Government,san joaquin,california
City of Kent Government,kent,michigan
City of White Bear Lake - Government,lake,illinois
City of Fort Lauderdale,lauderdale,alabama
The City of Bakersfield - Government,kern,california
"City of New Richmond, Wisconsin",st. croix,wisconsin
City of Grants,grant,new mexico
City of Jenks - Municipality,tulsa,oklahoma
Alaska Health and Social Services,MANUALLY TAG
City of North Little Rock - Government,rock,nebraska
"City of San Luis, Arizona",yuma,arizona
Brigham City Corporation,box elder,utah
"Bullhead City, Arizona, Government",mohave,arizona
Oneida County Health Department,oneida,wisconsin
City of Independence Kansas,independence,arkansas
Mississippi State Department of Health,mississippi,missouri
City of Folly Beach,charleston,south carolina
Licking County Health Department,licking,ohio
City of Alpharetta GA,fulton,georgia
City of Hazelwood,st. louis county,missouri
City of Mountain View - City Hall,hall,georgia
Allegheny County Government,allegheny,pennsylvania
"City of Wildwood, MO - Government",st. louis county,missouri
Weld County Government,weld,colorado
"City of Coralville, Iowa Government",iowa,wisconsin
City of Benton - City Hall,benton,tennessee
"City of Goodyear, AZ - USA",maricopa,arizona
"City of Highland Village, Texas Government",texas,missouri
City of Rawlins Government,rawlins,kansas
City of San Marcos - Government,hays,texas
City of New Bedford,bedford,virginia
"Sebastian County, Arkansas",sebastian,arkansas
City of Wills Point,van zandt,texas
RiverStone Health,fort bend,texas
City of Palmview,hidalgo,texas
City of Beaver Dam,beaver,utah
Marion County Health & Human Services,marion,indiana
"City of Fredericksburg, Virginia Government",stafford,virginia
City of Allen City Hall,allen,louisiana
McLeod County Public Health,mcleod,minnesota
Pickaway County Public Health,pickaway,ohio
"Salem, Massachusetts - City Government",essex,massachusetts
The City of Robstown,nueces,texas
"Lawrence County, SD",lawrence,missouri
City of Austell,cobb,georgia
Queen Anne's County Government,queen anne's,maryland
Albert Robles Carson Mayor,carson,texas
Perry County Health Department,perry,mississippi
Pawnee County Health Department OK,pawnee,nebraska
"Meriwether County, GA Health Department",meriwether,georgia
"Pike County, GA Health Department",pike,mississippi
City of Ellsworth,ellsworth,kansas
Sullivan County Public Health Services,sullivan,pennsylvania
"Village of West Lafayette, Ohio Office of the Mayor",ohio,kentucky
Sterling County,sterling,texas
City of Goldendale,klickitat,washington
Elbert County Health Department,elbert,georgia
Washington County Health and Human Services,washington,kansas
Lake Elsinore - City Hall,lake,illinois
City of Tom Bean,grayson,texas
The City of West Memphis,crittenden,arkansas
"Highlands County Board of County Commissioners, Government",highlands,florida
City of Homestead Government,miami-dade,florida
City and Borough of Juneau,juneau,wisconsin
Waupaca County Public Health Services,waupaca,wisconsin
"City of Cedar Park, Texas-City Government",cedar,iowa
Boston Public Health Commission,suffolk,massachusetts
"Camden County, Georgia Government",camden,new jersey
City of Citrus Heights Government,citrus,florida
Polk County Local Government,polk,missouri
City of St. Joseph Health Department,st. joseph,indiana
Cleveland County Health Department,cleveland,oklahoma
"Butte County, California",butte,south dakota
City of Hopkins,hopkins,texas
"City of Diamondhead, Mississippi",mississippi,missouri
"City of Lomita, California",los angeles,california
"Frankfort, Kentucky - City Hall",hall,georgia
City of Pleasant Hill - Government,hill,texas
"City of Arlington, TX - City Hall",hall,georgia
Jefferson County Wisconsin Health Department,jefferson,ohio
City of Walla Walla Government,walla walla,washington
Maplewood City Hall,hall,georgia
City of Auburn - Government,lee,alabama
City of Harker Heights,bell,texas
City Government of Commerce City,adams,colorado
City of Brookings Government,brookings,south dakota
City of Grandview,jackson,missouri
"Morton County, North Dakota - Government",morton,north dakota
City of New Brighton,ramsey,minnesota
City of Central Point (City Hall),jackson,oregon
City of Spokane Valley - Municipal Government,valley,nebraska
"Delta County, CO - Government",delta,colorado
City of Winthrop Minnesota,suffolk,massachusetts
Piute County,piute,utah
"City of Fairmont, Minnesota",martin,minnesota
City of Chillicothe Missouri,livingston,missouri
City of Worcester Health & Human Services,worcester,maryland
"City of Waite Park, Minnesota Government",stearns,minnesota
Tacoma-Pierce County Health Department,pierce,washington
"City of Cedar Hill, Texas - Government",texas,missouri
Allentown City without limits,lehigh,pennsylvania
City of San Gabriel Government,los angeles,california
Yavapai County,yavapai,arizona
"City of Merriam, KS - Government",johnson,kansas
"City of El Lago, Texas",texas,missouri
Haywood County NC Health and Human Services,haywood,tennessee
St. Mary’s County Health Department,st. mary's,maryland
City of Universal City,bexar,texas
Mercer County Health Department,mercer,missouri
St. Louis County,st. louis county,missouri
"City of Burlington, NC - Government",alamance,north carolina
"Orange City, FL – Government",orange,new york
"Sarpy County, Nebraska",sarpy,nebraska
"Douglas County, Kansas Government",douglas,kansas
City Of Claremont,los angeles,california
"Clarke County, Virginia",clarke,georgia
Burnett County Wisconsin Public Health,burnett,wisconsin
"City of Sanford, NC - Government Offices",lee,north carolina
City Of La Porte : Life By The Bay,bay,michigan
"City Government of Westerville, Ohio",ohio,kentucky
City of Bluefield - Local Government,tazewell,virginia
City of Oxford,oxford,maine
City of Taunton,bristol,massachusetts
Camden County Government,camden,new jersey
City of Beverly Hills - Government,los angeles,california
DuPage County Health Department,dupage,illinois
City of Poway,san diego,california
City of San Marcos TX - City Hall,hall,georgia
City of Wichita- Government,sedgwick,kansas
City of Cleveland - City Hall,cleveland,oklahoma
City of Aransas Pass,aransas,texas
"City of Lebanon, TN - Government",wilson,tennessee
"City of Portland, Maine",cumberland,maine
Merced County,merced,california
"City of Salisbury, Maryland",wicomico,maryland
Cleveland County Government,cleveland,oklahoma
Jefferson County Public Health,jefferson,ohio
City of Converse,converse,wyoming
City of Elk City,elk,pennsylvania
"Karnes County, Texas",texas,missouri
Fayette County PA,fayette,iowa
"Cumberland County, PA",cumberland,illinois
Ohio Department of Transportation,ohio,kentucky
City of Yelm - Government,thurston,washington
The Township of Monroe,monroe,pennsylvania
Sangamon County Department of Public Health,sangamon,illinois
"City of West Allis, WI Government",milwaukee,wisconsin
"City of Willmar, Minnesota",kandiyohi,minnesota
City of Jersey City Official Government Page,page,iowa
City of Kingman,kingman,kansas
City of Branson Government,taney,missouri
Okeechobee County Government,okeechobee,florida
City of Detroit Government,wayne,missouri
County of San Diego - Government,san diego,california
"City of Galt, California",sacramento,california
Cuero City Government,dewitt,texas
Imperial County Public Health Department,imperial,california
"City of Lansing, Kansas Government",leavenworth,kansas
"City of Adamsville, TN",mcnairy,tennessee
New York City Housing Authority (NYCHA),york,pennsylvania
City of Dunedin Florida - Government,pinellas,florida
"Clark County, Nevada",clark,illinois
"City of Maple Grove, MN - Local Government",hennepin,minnesota
Robeson County Administration/Government,robeson,north carolina
Anne Arundel County,anne arundel,maryland
City of Savage - Government,scott,minnesota
City of Hudsonville Government,ottawa,michigan
Knoxville Area Transit,knox,tennessee
Zanesville-Muskingum County Health Department,muskingum,ohio
Union County Health Department,union,new mexico
"City of Bowling Green, Ohio",ohio,kentucky
Scurry County Texas,texas,missouri
King County Metro Transit,king,texas
"Ellis County, TX Government",ellis,kansas
Posey County Health Department,posey,indiana
Braxton County Health Department,braxton,west virginia
City of Lubbock Health Department,lubbock,texas
Tennessee Department of Health,MANUALLY TAG
Boulder County Government,boulder,colorado
"Troy, NY - City Hall",hall,georgia
"City of Dickinson, Texas - City Government",texas,missouri
City of Barnesville Minnesota Government,lamar,mississippi
Greenup County Health Department,greenup,kentucky
City of Rockdale,rockdale,georgia
Rockdale County Government,rockdale,georgia
"City of Burlington, NJ",burlington,new jersey
"City of Luling, TX (Official City Page)",caldwell,texas
City of Shasta Lake,lake,illinois
City of Kenai - Government,district 9,alaska
Commonwealth of Pennsylvania,MANUALLY TAG
City of Lawrenceville,gwinnett,georgia
"City of Atchison, Kansas Local Government",atchison,kansas
"City of Fairborn, Ohio - Municipal Government",ohio,kentucky
City of Rochester Hills- Government,oakland,michigan
City of Fayetteville Arkansas Government,arkansas,arkansas
City of Haines City - Government,polk,florida
City of Tallmadge,summit,ohio
"City of Victoria, Texas - Government",texas,missouri
Milwaukee County Transit System,milwaukee,wisconsin
"City of Ballwin, MO - Government",st. louis county,missouri
King County Council,king,texas
Okeechobee City,okeechobee,florida
City of Wadsworth - City Hall,hall,georgia
"City of Guntersville, Alabama",marshall,alabama
Missouri Department of Health and Senior Services,MANUALLY TAG
"City of Mission, TX - Government",hidalgo,texas
City of Davenport Government,scott,iowa
"City of Graham, NC",alamance,north carolina
City of New Albany Government,albany,new york
City of Henderson Government,henderson,illinois
County of Ventura,ventura,california
Douglas County Sheriff's Office,douglas,kansas
City of Bowie Government,bowie,texas
City of Dearborn Government,dearborn,indiana
Lake County Florida,lake,illinois
"City Government of Ferndale, Michigan",oakland,michigan
"City of Sarasota, Government",sarasota,florida
Forsyth County Georgia Government,forsyth,georgia
City of Fairbanks,district 1,alaska
Columbus Public Health,columbus,north carolina
"City of Auburn, AL - City Government",lee,alabama
"City of Conover, NC - Government",catawba,north carolina
City of Pacific Grove,pacific,washington
Twiggs County Health Department,twiggs,georgia
Middlesex County NJ,middlesex,virginia
County of Albemarle,albemarle,virginia
City of Pleasanton,alameda,california
Mitchell County Home Health & Public Health,mitchell,kansas
"Loveland, Ohio City Government",ohio,kentucky
Jefferson County MT,jefferson,ohio
Teton County Idaho,teton,montana
Pierce County GA Government,pierce,nebraska
Farr West City,weber,utah
New Kent County,kent,michigan
Bullock County Health Department,bullock,alabama
Choctaw County Health Department,choctaw,alabama
Welcome Home - City of Buffalo,buffalo,south dakota
Seattle Housing Authority,snohomish,washington
Riverside City Hall,hall,georgia
"City of Knoxville, Illinois",knox,illinois
City of North Oaks,ramsey,minnesota
City of Tuscola,tuscola,michigan
"City of Watertown, WI - Government",jefferson,wisconsin
"Macon County Health Department (Decatur, IL)",macon,north carolina
Marlboro County Government,marlboro,south carolina
Tuolumne County Public Health,tuolumne,california
City of South Daytona,volusia,florida
"Rockingham County, Virginia",rockingham,virginia
Bourbon County Health Department,bourbon,kentucky
City of Bartlett,dupage,illinois
City of Mauston,juneau,wisconsin
Baltimore County Government,baltimore,maryland
The City of South San Francisco – Government,san francisco,california
"City of Bridgeport, TX",wise,texas
"City of Raymore, Missouri Government",cass,missouri
City Talk - Shawano,shawano,wisconsin
Greene County Public Health Department,greene,pennsylvania
"City of Mission Viejo, CA - Local Government",orange,california
"City of Shawnee, KS Government",shawnee,kansas
"City of Wilmington, Delaware",delaware,oklahoma
Houston County Government,houston,texas
"City of Germantown, Tennessee Government",shelby,tennessee
"City of Farmington, MN - Local Government",dakota,minnesota
Portage County Health District,portage,wisconsin
"City of Henderson, TN",chester,tennessee
"City of Edgewater, Florida",volusia,florida
"Round Rock, Texas – City Government",texas,missouri
City of Tipp City - Government,miami,ohio
Dorchester County Government,dorchester,maryland
Breckinridge County Health Department,breckinridge,kentucky
Cobb County Government,cobb,georgia
Rhode Island Department of Health,island,washington
"City of Long Beach, New York (OFFICIAL)",york,pennsylvania
Washington County Government - Maryland,washington,kansas
City of Roxboro,person,north carolina
Salt Lake County Government,lake,illinois
"Douglas County, Nevada",douglas,kansas
City of Atlanta Government,fulton,georgia
Fresno Housing,fresno,california
City of Yreka,siskiyou,california
"City of Hickory, NC - Government",catawba,north carolina
City of Navasota - Government,grimes,texas
"Kershaw County, SC",kershaw,south carolina
City of Lawrenceburg,lawrence,tennessee
Hall County Government,hall,georgia
City and County of Honolulu,honolulu,hawaii
City of Ocean Springs (Official),ocean,new jersey
Gwinnett County Government,gwinnett,georgia
Blount County Commission,blount,tennessee
"City of Washburn, WI Government",bayfield,wisconsin
Jackson MO-City Government,jackson,mississippi
City of Tolleson AZ - Government,maricopa,arizona
Jeffersonville Mayor's Office,clark,indiana
"City of Nevada, IA",story,iowa
"City of North Muskegon, Michigan - City Hall",hall,georgia
"City of Cottonwood, Arizona",yavapai,arizona
Carter County Oklahoma Health Department,oklahoma,oklahoma
San Antonio Housing Authority,bexar,texas
City of Raleigh - Government,raleigh,west virginia
Glynn County Board of Commissioners,glynn,georgia
"City of Galveston, Texas - Government",texas,missouri
"County of Kern, California",kern,california
"City of Graham, Texas",texas,missouri
City of Kennesaw Government,cobb,georgia
Crawford County Public Health Department,crawford,pennsylvania
City of Frostburg,allegany,maryland
City of Boerne - City Government,kendall,texas
"City of Sumter, South Carolina",sumter,south carolina
"City of Montgomery, Alabama Government",montgomery,alabama
Stearns County MN Government,stearns,minnesota
Hernando County Government,hernando,florida
"City of Delano, MN - City Government",wright,minnesota
"City of Hudson, Ohio - Government",ohio,kentucky
"Winnebago County Health Department (Rockford, IL)",winnebago,wisconsin
City of Seaford,nassau,new york
City of Cannon Falls,cannon,tennessee
Boulder County Public Health,boulder,colorado
Jackson County Georgia Government,jackson,mississippi
La Plata County Government,la plata,colorado
Lindon City,salt lake,utah
City of Fernley.org,lyon,nevada
City of Granbury City Hall,hall,georgia
City of Crossett,ashley,arkasnsas
City of Le Roy,mclean,illinois
City of Pine City,pine,minnesota
City Of Bandera,bandera,texas
"City of Douglas, WY",converse,wyoming
City of Davenport,scott,iowa
Warren County IL Health Department,warren,kentucky
Louisiana Department of Health,MANUALLY TAG
"The City of Wyandotte, Michigan",wayne,michigan
"City of Hartsville, SC, Government",darlington,south carolina
City of Milwaukie,milwaukee,wisconsin
Owyhee County,owyhee,idaho
City of Andrews,andrews,texas
"Madison County, KY",madison,tennessee
City of Rock Valley,rock,nebraska
Texas Department of Transportation,texas,missouri
Santa Cruz City Government,santa cruz,california
"City Government of Albany, Oregon",oregon,missouri
City of Osceola,osceola,iowa
"City of Marysville, Michigan",st. clair,michigan
Anchorage Health Department,district 13,alaska
"Finney County, Kansas",finney,kansas
Kearny Department of Public Health,kearny,kansas
City of Watkinsville,oconee,georgia
City of Adrian Government,lenawee,michigan
"Calvert City, Kentucky",calvert,maryland
City of Canton GA,cherokee,georgia
"The City of College Park, MD",prince george's,maryland
Prior Lake City Government,lake,illinois
"Giles County, Virginia",giles,tennessee
Grundy County Health Department,grundy,iowa
Brea City Hall,hall,georgia
City of Yankton-Municipal Government,yankton,south dakota
Montrose County - Government,montrose,colorado
Fond du Lac County Health Department,fond du lac,wisconsin
The City of Allegan,allegan,michigan
Housing Authority of the City of Austin,austin,texas
Richmond County,richmond,virginia
"Appomattox County, Virginia",appomattox,virginia
City of Whitewater,walworth,wisconsin
"Gardner Health Department, Gardner MA",worcester,massachusetts
Crook County Health Department,crook,wyoming
"City of Lakewood, Ohio - Municipal Government",ohio,kentucky
"City of Hamilton, Ohio - City Hall",ohio,kentucky
Metro Nashville,davidson,tennessee
"City of Yucaipa, CA - City Government",san bernardino,california
"City of Midland, Michigan - Municipal Government",midland,michigan
Leon County,leon,texas
City of Hesperia,san bernardino,california
"City of Harlem, Georgia",columbia,georgia
"City of Hernando, MS – Government",desoto,missouri
"City of Burleson, Texas Government",texas,missouri
Coweta County Government,coweta,georgia
City of Coral Gables - Government,miami-dade,florida
City of Birmingham Government,jefferson,alabama
"Peachtree City, GA - City Government",fayette,georgia
"City of Maitland, Florida",orange,florida
City of Greenfield CA,monterey,california
City of Folsom - Government,sacramento,california
"City of Coburg, Oregon",oregon,missouri
"Woodford County, Kentucky",woodford,kentucky
"City of Daphne, Alabama - ""The Jubilee City""",baldwin,alabama
Wabash County Health Department-Public Health Services,wabash,indiana
City of Louisburg KS,miami,kansas
City of Holladay,salt lake,utah
Mountain Metropolitan Transit,summit,colorado
St. Lucie County,st. lucie,florida
"City of Ripley, WV",jackson,west virginia
Duplin County Government,duplin,north carolina
City of River Falls,falls,texas
"City of Blaine, Minnesota, Government",anoka,minnesota
"City of Manhattan, Kansas - Municipal Government",riley,kansas
City of Charlotte Government,charlotte,virginia
East Peoria - City Government,peoria,illinois
"City of Dunbar, West Virginia",kanawha,west virginia
Michigan Department of Health and Human Services,MANUALLY TAG
"City of Medford, Local Government",jackson,oregon
The City of East Lansing,ingham,michigan
Pike County Health Department Home Health & Hospice,pike,mississippi
"Jackson County, NC Department of Public Health",jackson,mississippi
City of Brady,mcculloch,texas
"City of Jonesboro, AR - Government",craighead,arkansas
"City of Berea, KY Government",madison,kentucky
"Dinwiddie County, VA",dinwiddie,virginia
"Clermont County, Ohio - Government",ohio,kentucky
"City of Glendale, Missouri - Government",st. louis county,missouri
Burlingame City Hall,hall,georgia
Chicago Housing Authority,cook.illinois
Draper City,salt lake,utah
Dearborn County Sheriff's Office,dearborn,indiana
Bismarck-Burleigh Public Health,burleigh,colorado
"Livingston County, Kentucky",livingston,missouri
City of Wrens,jefferson,georgia
City of Cherryvale,montgomery,kansas
Wisconsin Department of Health Services,MANUALLY TAG
City of Tupelo - Mayor's Office,lee,mississippi
